plot,pass,range,nitrogen,entry,rep,block,plot,name,pedigree1,H1_wetbundle1,H1_wetbundle2,H2_wetbundle,H3_wetbundle,H4_wetbundle,H5_wetbundle,H1_nplants,H1_stemdry,H1_leafdry,H2_nplants,H2_stemdry,H2_leafdry,H3_nplants,H3_stemdry,H3_leafdry,H4_nplants,H4_stemdry,H4_leafdry,H5_nplants,H5_stemdry,H5_leafdry,height
SV19_1528,3,4,X,41,4,NA,NA,I03390,"ND9902621-2, ECLIPSE",88.5,72.4,440,940,420,280,12,7.8,19.4,9,37.7,40.2,10,92.1,71,15,44.3,135,12,42.5,152.5,35
SV19_1529,3,5,X,41,5,NA,NA,I03390,"ND9902621-2, ECLIPSE",39.9,43.1,480,1040,720,320,12,4.7,11.7,12,41.9,42.0,11,100,73.9,12,59.7,146.6,10,49.6,175.7,39
SV19_1530,3,6,X,41,6,NA,NA,I03390,"ND9902621-2, ECLIPSE",40,59.4,620,1220,420,260,11,5.4,13.1,14,55.9,49.3,18,120.9,103.1,12,35.8,123.2,15,37,140.4,37
SV19_1531,3,7,X,41,7,NA,NA,I03390,"ND9902621-2, ECLIPSE",83.4,80.2,650,1320,460,320,14,8.8,18.8,NA,NA,NA,11,125.7,102.8,12,47.1,170.7,12,52.7,184.5,41
SV19_1532,3,8,X,41,8,NA,NA,I03390,"ND9902621-2, ECLIPSE",34.8,71.3,700,1140,520,320,10,5.1,13.4,NA,NA,NA,10,109.8,94.5,12,43.2,162.9,11,48.8,181.3,42
SV19_1533,3,9,X,41,9,NA,NA,I03390,"ND9902621-2, ECLIPSE",89.8,57.4,580,1100,420,280,12,7.6,17.4,NA,NA,NA,12,116.9,76.9,12,46.6,153.1,14,40.4,147,37
SV19_1534,3,10,X,41,10,NA,NA,I03390,"ND9902621-2, ECLIPSE",62.8,76.8,480,1460,640,300,14,6.6,16.9,12,35.8,47.0,13,127.3,105.6,9,58.3,167.9,12,44.4,184,42
SV19_1535,3,11,X,41,11,NA,NA,I03390,"ND9902621-2, ECLIPSE",78.9,64.7,460,1220,540,260,11,7.8,17.6,NA,NA,NA,12,119.5,90.7,11,45.3,119.4,10,39.1,136.6,36
SV19_1536,3,12,X,41,12,NA,NA,I03390,"ND9902621-2, ECLIPSE",51.4,63.7,520,1060,420,220,14,5.8,14.4,15,38.0,54.0,17,106.8,77.9,14,44.5,146.9,12,31.2,111.9,37
SV19_2501,19,1,N,1,1,NA,1001,B18504,Zenith//Alpena*/B09197,74.5,70.1,560,1460,1240,440,13,7,14.6,14,37.9,45.7,14,159.6,56.7,15,113.2,188.4,15,73,224.4,47
SV19_2502,19,2,N,2,1,NA,1002,B17922,B14302/B10244,103.4,105.2,620,1480,740,280,17,10.8,21.9,15,42.4,52.5,14,160.5,81.6,17,64.1,157,16,41.9,149.7,42
SV19_2503,19,3,N,3,1,NA,1003,I07112,R99 NO NOD,92.8,56.3,640,920,1100,380,16,7.3,17.6,14,46.4,58.0,12,112.8,47.2,16,134.4,111.8,17,58.2,97.8,42
SV19_2504,19,4,N,3,2,NA,2001,I07112,R99 NO NOD,66.1,53.8,560,1320,960,440,11,6.1,14.7,13,41.5,51.6,13,149.3,63.4,16,94.5,170,19,57,206.1,47
SV19_2505,19,5,N,2,2,NA,2002,B17922,B14302/B10244,109.7,96.7,740,1460,940,340,18,11.8,21.5,15,55.0,57.5,14,141.6,86.9,15,85.8,206.1,13,57.6,191.3,45
SV19_2506,19,6,N,1,2,NA,2003,B18504,Zenith//Alpena*/B09197,78.2,59.6,760,1560,1000,340,15,8.7,15.3,13,56.6,57.1,14,163.5,99.2,14,87.2,194.1,16,52.2,187.1,49
SV19_2507,19,7,N,3,3,NA,3001,I07112,R99 NO NOD,57.9,42.9,600,1300,940,380,11,5.5,13,13,47.5,56.2,15,140,58.7,15,93.6,171.2,13,55.1,198,50
SV19_2508,19,8,N,2,3,NA,3002,B17922,B14302/B10244,93.3,93.5,640,1820,1120,520,16,10.6,19.1,17,43.8,49.9,14,180.6,100.8,13,98.2,203.5,16,84.5,264,52
SV19_2509,19,9,N,1,3,NA,3003,B18504,Zenith//Alpena*/B09197,128.3,79.4,700,1740,1160,500,16,11.9,20.6,15,50.5,56.5,15,179.2,98.5,15,106.5,224.5,14,71.6,246.2,53
SV19_2510,19,10,N,1,4,NA,4001,B18504,Zenith//Alpena*/B09197,58.5,50.2,560,1440,1120,360,14,6.8,11.8,15,42.0,47.1,16,171.5,59.6,17,103.1,195.6,13,57.4,199.6,46
SV19_2511,19,11,N,3,4,NA,4002,I07112,R99 NO NOD,58.1,53,660,1200,1080,480,13,5.6,12.7,NA,NA,NA,13,120.5,74.9,18,104.9,174.3,12,63.1,216.8,46
SV19_2512,19,12,N,2,4,NA,4003,B17922,B14302/B10244,78,54.5,620,1400,620,220,13,7.2,14.8,18,42.7,55.3,13,134.9,90.6,15,54.2,128,14,30.6,133.3,43
SV19_2513,20,1,N,5,1,NA,NA,B10244,"B04644/ZORRO, ZENITH",54.4,67.2,680,1620,1320,520,10,5.1,13,NA,NA,NA,13,175.1,84,10,142,176.7,10,65.8,223.6,45
SV19_2514,20,2,N,5,2,NA,NA,B10244,"B04644/ZORRO, ZENITH",79.7,73.6,580,1500,900,280,13,7.6,16.8,13,38.9,49.9,12,155.1,92.1,11,81.9,171.7,15,45.9,160.4,42
SV19_2515,20,3,N,5,3,NA,NA,B10244,"B04644/ZORRO, ZENITH",102.3,68.5,640,1440,920,360,11,8.6,18.4,13,46.2,49.0,13,173,77.4,12,90.4,158.2,11,60.7,189.7,43
