Trial,Location,Year,Date,Plot No,Date_of_Germination,Date_of_Anthesis ,Date_of_Silking ,Plant_Height ,Cob_Height ,No_of_Plants,No_of_Cobs,Field_weight,Grain_weight,Grain_wt_100,Moisture_NARC,Canopy_Temp
NARC 2017 Date 1,NARC,2017,Date1,313,42812,42869,42870,6.9,3.6,8,9,108,67,21,15.9,29.7
NARC 2017 Date 1,NARC,2017,Date1,314,42809,42865,42868,6.4,3.3,9,9,134,111,22,17.8,31.7
NARC 2017 Date 1,NARC,2017,Date1,315,42809,42867,42869,6.8,3.5,7,15,823,664,14,18,32.3
NARC 2017 Date 1,NARC,2017,Date1,316,42809,42866,42869,6.2,2.5,9,15,622,512,15,15.9,32
NARC 2017 Date 1,NARC,2017,Date1,315,42809,42869,42870,6.5,3.4,11,3,230,56,19,18.3,32.7
NARC 2017 Date 1,NARC,2017,Date1,318,42809,42865,42868,4.5,2.2,7,9,169,87,15,18.4,32
NARC 2017 Date 1,NARC,2017,Date1,319,42810,42871,42875,4.7,2.1,9,19,158,136,20,19.2,32.3
NARC 2017 Date 1,NARC,2017,Date1,320,42812,42873,42877,5.6,3.5,7,10,360,233,31,15.9,32.3
NARC 2017 Date 1,NARC,2017,Date1,CH1,42809,42870,42875,5.8,2.5,9,19,756,612,28,19.6,31.3
NARC 2017 Date 1,NARC,2017,Date1,CH2,42809,42875,42877,6.5,3.2,13,11,569,456,29,17.8,30.7
NARC 2017 Date 1,NARC,2017,Date1,CH3,42809,42883,42885,4.8,2.1,14,10,890,556,22,19.5,32.3
NARC 2017 Date 1,NARC,2017,Date1,321,42810,42875,42877,5.6,2.5,9,26,469,389,27,19.4,31.3
NARC 2017 Date 1,NARC,2017,Date1,322,42809,42866,42868,4.7,2.4,10,23,900,450,23,15.9,31.3
NARC 2017 Date 1,NARC,2017,Date1,323,42810,42873,42877,5.2,2.9,6,24,298,259,19,16.4,31.7
NARC 2017 Date 1,NARC,2017,Date1,324,42809,42868,42870,5.6,2.8,12,5,136,86,25,17.6,31.7
NARC 2017 Date 1,NARC,2017,Date1,325,42809,42870,42870,6.1,2.9,9,7,322,280,18,20.3,31.3
NARC 2017 Date 1,NARC,2017,Date1,326,42810,42875,42877,6.1,3.1,7,9,155,98,19,18.5,32
NARC 2017 Date 1,NARC,2017,Date1,327,42809,42875,42877,6.4,3.6,7,5,169,132,19,19.7,31.3
NARC 2017 Date 1,NARC,2017,Date1,328,42809,42873,42877,6.2,3.8,16,28,1598,1365,25,18.6,32
NARC 2017 Date 1,NARC,2017,Date1,329,42809,42870,42870,6.3,4.2,16,15,765,620,25,17.8,31
NARC 2017 Date 1,NARC,2017,Date1,330,42810,42877,42880,6.8,4,7,3,123,112,22,18.7,31.7
NARC 2017 Date 1,NARC,2017,Date1,331,42809,42870,42875,6.2,2.8,13,7,409,299,26,19.2,30.3
NARC 2017 Date 1,NARC,2017,Date1,332,42809,42868,42870,5.8,3.1,11,4,126,87,14,18.6,31.7
NARC 2017 Date 1,NARC,2017,Date1,333,42809,42870,42870,5.9,3.4,12,5,79,55,21,17.8,31
NARC 2017 Date 1,NARC,2017,Date1,334,42809,42875,42877,5.4,3.2,10,11,659,552,18,19.4,31.7
NARC 2017 Date 1,NARC,2017,Date1,335,42812,42873,42877,6,3.3,8,15,659,426,23,15.9,32.3
NARC 2017 Date 1,NARC,2017,Date1,336,42809,42870,42875,6,3.7,6,3,550,368,25,18.2,32
NARC 2017 Date 1,NARC,2017,Date1,337,42809,42875,42877,6.7,3.8,8,6,132,122,14,18.3,31.7
NARC 2017 Date 1,NARC,2017,Date1,338,42810,42870,42870,6.1,3.2,8,2,96,45,16,16.7,31.7
NARC 2017 Date 1,NARC,2017,Date1,339,42809,42873,42877,5,1.6,15,19,960,788,25,18.5,31.7
NARC 2017 Date 1,NARC,2017,Date1,340,42809,42870,42870,7.2,3.9,12,15,780,645,24,19.2,31.7
NARC 2017 Date 1,NARC,2017,Date1,CH1,42809,42875,42877,6.4,3.3,10,8,655,420,23,20,32
NARC 2017 Date 1,NARC,2017,Date1,CH2,42809,42880,42882,6.5,3.2,15,9,1450,1230,25,19.3,32.3
NARC 2017 Date 1,NARC,2017,Date1,CH3,42809,42878,42880,5.5,2.2,9,15,780,500,22,20.1,32.3
NARC 2017 Date 1,NARC,2017,Date1,341,42810,42870,42870,6,3.3,10,11,789,659,19,18.6,31.3
NARC 2017 Date 1,NARC,2017,Date1,342,42809,42866,42868,6.2,3.1,10,3,198,155,23,17.3,31.3
NARC 2017 Date 1,NARC,2017,Date1,343,42810,42884,42888,6.9,3.6,7,13,500,348,27,19.3,31.7
NARC 2017 Date 1,NARC,2017,Date1,344,42809,42883,42889,6.9,4.1,15,6,126,79,18,18.7,31.3
NARC 2017 Date 1,NARC,2017,Date1,345,42810,42878,42882,7.2,4.2,11,16,1021,983,27,19.3,31.7
NARC 2017 Date 1,NARC,2017,Date1,346,42809,42866,42868,5.8,3.6,8,15,1355,1160,23,18.4,31.3
NARC 2017 Date 1,NARC,2017,Date1,347,42812,42866,42868,7.7,3.9,7,7,552,302,31,15.9,30.7
NARC 2017 Date 1,NARC,2017,Date1,348,42809,42884,42887,7.8,3.9,15,15,822,723,18,18.6,30.3
NARC 2017 Date 1,NARC,2017,Date1,349,42810,42868,42870,6.1,2.9,13,15,265,145,25,18.9,30.3
NARC 2017 Date 1,NARC,2017,Date1,350,42809,42870,42875,5.2,2.2,7,5,188,154,23,17.8,32
NARC 2017 Date 1,NARC,2017,Date1,351,42809,42870,42870,5.9,2.6,10,10,336,159,23,18.9,31
NARC 2017 Date 1,NARC,2017,Date1,352,42812,42873,42875,5.9,3,9,8,233,198,21,18,30.7
NARC 2017 Date 1,NARC,2017,Date1,353,42809,42887,42889,6.1,3.6,15,14,1098,845,27,19.1,31.7
NARC 2017 Date 1,NARC,2017,Date1,354,42809,42870,42875,5.8,3.3,9,12,688,254,23,20,30.3
NARC 2017 Date 1,NARC,2017,Date1,355,42809,42870,42875,5.4,2.9,10,6,259,115,25,19.7,29.7
NARC 2017 Date 1,NARC,2017,Date1,356,42810,42870,42876,6.2,3.5,11,9,426,320,19,18,30
NARC 2017 Date 1,NARC,2017,Date1,357,42809,42869,42871,6.3,3,12,18,912,559,25,16.5,31
NARC 2017 Date 1,NARC,2017,Date1,358,42812,42865,42868,6.1,2.7,10,8,645,311,26,19.5,31.3
NARC 2017 Date 1,NARC,2017,Date1,359,42810,42866,42868,6.1,3,13,15,945,456,23,18.6,30.7
NARC 2017 Date 1,NARC,2017,Date1,360,42809,42889,42892,9,4.4,12,15,988,780,25,18.7,30.7
NARC 2017 Date 1,NARC,2017,Date1,CH1,42809,42875,42878,6,3.4,13,16,1560,1345,27,19.4,29.7
NARC 2017 Date 1,NARC,2017,Date1,CH2,42812,42890,42893,6.4,2.9,15,11,1997,1589,26,18.6,32
NARC 2017 Date 1,NARC,2017,Date1,CH3,42809,42879,42882,4.5,2,12,15,368,198,21,15.9,32.7
NARC 2017 Date 1,NARC,2017,Date1,361,42809,42881,42883,7.1,4.5,15,27,589,400,25,18.4,31.7
NARC 2017 Date 1,NARC,2017,Date1,362,42812,42869,42871,4.2,2.3,7,3,126,56,21,18,31.7
NARC 2017 Date 1,NARC,2017,Date1,363,42809,42867,42869,4.8,2.4,7,9,220,89,23,15.9,30.3
NARC 2017 Date 1,NARC,2017,Date1,364,42810,42869,42871,4.2,1.8,5,8,98,40,22,17.9,32
NARC 2017 Date 1,NARC,2017,Date1,365,42809,42883,42885,4.9,2.4,10,15,422,312,15,19.4,31.7
NARC 2017 Date 1,NARC,2017,Date1,366,42809,42879,42881,6.1,2.8,9,15,713,613,18,19.4,31.7
NARC 2017 Date 1,NARC,2017,Date1,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NARC 2017 Date 1,NARC,2017,Date1,368,42810,42869,42871,5.7,2.4,6,3,70,35,19,18.4,30.7
NARC 2017 Date 1,NARC,2017,Date1,369,42809,42867,42869,5.9,2.7,8,15,980,600,22,19.5,31
NARC 2017 Date 1,NARC,2017,Date1,370,42810,42866,42868,6.1,2.9,11,15,980,650,25,17.8,31
NARC 2017 Date 1,NARC,2017,Date1,371,42810,42873,42876,5.1,2.1,9,5,111,84,23,19.5,30.7
NARC 2017 Date 1,NARC,2017,Date1,372,42809,42873,42876,5.3,3,5,3,298,86,22,18.7,29
NARC 2017 Date 1,NARC,2017,Date1,373,42812,42881,42883,6.2,3.3,7,7,79,35,29,19.4,30.3
NARC 2017 Date 1,NARC,2017,Date1,374,42812,42881,42883,5.6,2.6,9,5,79,61,21,19.5,31
NARC 2017 Date 1,NARC,2017,Date1,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NARC 2017 Date 1,NARC,2017,Date1,376,42809,42877,42879,6.9,3.5,14,14,864,425,23,19.4,31.3
NARC 2017 Date 1,NARC,2017,Date1,377,42810,42878,42880,6.7,3.8,11,15,958,688,25,18.6,31.7
NARC 2017 Date 1,NARC,2017,Date1,378,42809,42877,42879,6.8,3.6,9,6,215,24,18,15.9,30.7
NARC 2017 Date 1,NARC,2017,Date1,379,42809,42891,42891,6,3.5,9,7,359,219,19,19.2,31
NARC 2017 Date 1,NARC,2017,Date1,380,42810,42877,42879,6.8,3.4,7,15,444,312,22,20.3,29.7
NARC 2017 Date 1,NARC,2017,Date1,381,42812,42888,42891,7.2,3.8,7,16,689,336,25,19.2,32.7
NARC 2017 Date 1,NARC,2017,Date1,382,42809,42878,42881,5.9,3.1,8,9,347,288,25,19.4,32
NARC 2017 Date 1,NARC,2017,Date1,383,42810,42879,42882,8.4,4.3,5,3,112,56,26,18.7,32
