Trial,Location,Year,Date,Plot No,Date_of_Germination,Date_of_Anthesis ,Date_of_Silking ,Plant_Height ,Cob_Height ,No_of_Plants,No_of_Cobs,Field_weight,Grain_weight,Grain_wt_100,Moisture_NARC,Canopy_Temp
NARC 2017 Date 2,NARC,2017,Date2,331,42848,42883,42886,6.2,2.7,10,8,400,392,24,16.8,35
NARC 2017 Date 2,NARC,2017,Date2,332,42849,42885,42888,5.4,3,12,1,30,18,12,16.4,35
NARC 2017 Date 2,NARC,2017,Date2,333,42849,42890,42892,5.9,3.5,14,3,50,31,20,18.2,33.7
NARC 2017 Date 2,NARC,2017,Date2,334,42848,42888,42890,5.4,3.2,9,9,500,482,16,17.8,35.3
NARC 2017 Date 2,NARC,2017,Date2,335,42846,42886,42893,5.6,3.4,9,14,500,358,24,18.2,33
NARC 2017 Date 2,NARC,2017,Date2,336,42849,42882,42884,6.1,3.7,3,0,0,0,NA,NA,35.3
NARC 2017 Date 2,NARC,2017,Date2,337,42848,42888,42890,6.8,3.8,6,6,45,35,12,16.6,34
NARC 2017 Date 2,NARC,2017,Date2,338,42849,42878,42880,6,3.2,4,0,0,0,NA,NA,34
NARC 2017 Date 2,NARC,2017,Date2,339,42849,42888,42891,4.9,1.6,12,15,1050,728,26,19.6,34.7
NARC 2017 Date 2,NARC,2017,Date2,340,42849,42889,42892,7.3,3.9,13,16,600,512,22,17.3,34.7
NARC 2017 Date 2,NARC,2017,Date2,CH1,42849,42897,42900,6.4,3.3,12,12,700,571,24,18.3,34.7
NARC 2017 Date 2,NARC,2017,Date2,CH2,42848,42899,42902,6.5,3.2,11,10,1500,1120,26,17.3,34.7
NARC 2017 Date 2,NARC,2017,Date2,CH3,42849,42907,42910,6.5,3.7,11,15,950,557,21,18.6,35
NARC 2017 Date 2,NARC,2017,Date2,341,42849,42880,42885,5.9,3.3,10,9,800,650,20,18.6,33
NARC 2017 Date 2,NARC,2017,Date2,342,42849,42889,42892,6.2,3.1,9,2,200,155,24,19.2,32.7
NARC 2017 Date 2,NARC,2017,Date2,343,42848,42890,42895,6.8,3.8,10,11,500,348,28,20.1,33.7
NARC 2017 Date 2,NARC,2017,Date2,344,42849,42889,42892,6.7,4.1,13,4,70,24,16,20.1,34.7
NARC 2017 Date 2,NARC,2017,Date2,345,42849,42898,42901,7.2,4.2,9,12,1000,834,28,18.2,33
NARC 2017 Date 2,NARC,2017,Date2,346,42849,42887,42889,6.4,3.6,10,15,1500,1248,24,17.3,33.7
NARC 2017 Date 2,NARC,2017,Date2,347,42848,42887,42890,7.5,4,9,10,500,206,30,16.8,34.3
NARC 2017 Date 2,NARC,2017,Date2,348,42849,42888,42890,7.7,4,13,14,700,622,16,17.8,35
NARC 2017 Date 2,NARC,2017,Date2,349,42849,42882,42886,5.8,2.8,11,12,150,106,24,16.8,34.7
NARC 2017 Date 2,NARC,2017,Date2,350,42849,42883,42886,5.1,2.2,9,0,0,0,NA,NA,36
NARC 2017 Date 2,NARC,2017,Date2,351,42848,42881,42883,5.8,2.6,8,9,300,206,22,18.5,35
NARC 2017 Date 2,NARC,2017,Date2,352,42848,42879,42883,5.9,2.9,6,4,350,326,20,16.7,34.3
NARC 2017 Date 2,NARC,2017,Date2,353,42849,42899,42902,6.1,3.6,12,11,1000,802,26,18.6,33.3
NARC 2017 Date 2,NARC,2017,Date2,354,42849,42888,42891,6,3.2,7,9,700,244,22,19.5,33
NARC 2017 Date 2,NARC,2017,Date2,355,42849,42890,42893,5.2,2.8,8,4,250,116,22,18.2,33.7
NARC 2017 Date 2,NARC,2017,Date2,356,42848,42883,42885,6.3,3.5,9,10,300,256,18,17.9,32
NARC 2017 Date 2,NARC,2017,Date2,357,42849,42881,42884,6.3,3,14,19,800,688,24,16.7,33.7
NARC 2017 Date 2,NARC,2017,Date2,358,42849,42878,42881,5.9,2.7,11,7,400,225,24,18.2,35.3
NARC 2017 Date 2,NARC,2017,Date2,359,42849,42877,42880,6,3,11,13,800,444,24,19.5,35
NARC 2017 Date 2,NARC,2017,Date2,360,42848,42904,42908,8.7,4.4,13,12,650,606,24,17.8,34.7
NARC 2017 Date 2,NARC,2017,Date2,CH1,42849,42902,42905,5.8,3.5,13,12,1600,1200,26,18.6,35
NARC 2017 Date 2,NARC,2017,Date2,CH2,42848,42901,42906,5.7,3.2,16,10,2200,1800,24,16.4,34.3
NARC 2017 Date 2,NARC,2017,Date2,CH3,42848,42907,42910,5.3,2.8,10,15,290,246,20,18.5,35
NARC 2017 Date 2,NARC,2017,Date2,361,42849,42905,42908,7.8,4.5,13,26,451,390,24,18.9,35
NARC 2017 Date 2,NARC,2017,Date2,362,42849,42875,42878,4.2,2.3,4,0,0,0,NA,NA,34
NARC 2017 Date 2,NARC,2017,Date2,363,42848,42878,42880,4.8,2.4,5,0,0,0,NA,NA,35.7
NARC 2017 Date 2,NARC,2017,Date2,364,42849,42878,42880,3.9,1.7,3,0,0,0,NA,NA,34
NARC 2017 Date 2,NARC,2017,Date2,365,42849,42906,42909,4.9,2.4,8,13,420,214,16,16.4,35
NARC 2017 Date 2,NARC,2017,Date2,366,42848,42894,42898,6,2.8,7,11,650,518,16,18.6,34.7
NARC 2017 Date 2,NARC,2017,Date2,367,42849,42904,42907,3.1,2,1,8,700,258,28,19.8,36
NARC 2017 Date 2,NARC,2017,Date2,368,42848,42889,42892,5.4,2.4,4,0,0,0,NA,NA,34.3
NARC 2017 Date 2,NARC,2017,Date2,369,42849,42887,42891,5.8,2.7,4,10,750,431,21,20.6,34
NARC 2017 Date 2,NARC,2017,Date2,370,42849,42887,42889,6.1,2.8,9,15,750,454,24,17,34.3
NARC 2017 Date 2,NARC,2017,Date2,371,42848,42900,42901,4.6,2,1,0,0,0,NA,NA,34
NARC 2017 Date 2,NARC,2017,Date2,372,42849,42898,42901,5.4,2.8,2,1,200,34,20,19,34
NARC 2017 Date 2,NARC,2017,Date2,373,42849,42899,42902,6,3.3,3,5,50,18,30,18.9,33.7
NARC 2017 Date 2,NARC,2017,Date2,374,42848,42883,42885,5.3,2.6,6,1,50,34,32,20.5,33.7
NARC 2017 Date 2,NARC,2017,Date2,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NARC 2017 Date 2,NARC,2017,Date2,376,42849,42898,42901,6.9,3.4,13,12,600,391,24,16.7,34.7
NARC 2017 Date 2,NARC,2017,Date2,377,42849,42900,42901,6.8,3.7,12,19,1000,736,26,18.9,33.7
NARC 2017 Date 2,NARC,2017,Date2,378,42848,42899,42902,6.7,3.4,10,4,200,24,16,18.3,34.3
NARC 2017 Date 2,NARC,2017,Date2,379,42849,42900,42901,6.1,3.4,6,2,100,0,NA,NA,34.7
NARC 2017 Date 2,NARC,2017,Date2,380,42848,42892,42895,6.8,3.3,6,12,400,298,24,18.6,35.3
NARC 2017 Date 2,NARC,2017,Date2,381,42849,42897,42900,7.1,3.8,10,18,700,290,24,18.9,34
NARC 2017 Date 2,NARC,2017,Date2,382,42848,42898,42901,5.7,3.1,5,7,500,399,24,18.3,34.7
NARC 2017 Date 2,NARC,2017,Date2,383,42849,42902,42904,8.4,4.3,1,0,0,0,NA,NA,34
NARC 2017 Date 2,NARC,2017,Date2,384,42849,42898,42901,6.9,3.7,7,6,200,45,24,18.2,33.7
NARC 2017 Date 2,NARC,2017,Date2,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NARC 2017 Date 2,NARC,2017,Date2,386,42849,42901,42904,7.1,3.9,1,0,0,0,NA,NA,34
NARC 2017 Date 2,NARC,2017,Date2,CH1,42848,42887,42893,5.4,2.9,12,2,200,122,23,18.2,32.7
NARC 2017 Date 2,NARC,2017,Date2,CH2,42849,42895,42898,5.5,3.3,14,9,750,275,26,17.8,31.7
NARC 2017 Date 2,NARC,2017,Date2,CH3,42849,42907,42910,5.4,3.4,9,7,100,20,19,15.9,34
Peshawar 2017 Date 1,Peshawar,2017,Date1,1,42819,42881,42884,5.4,2.6,10,4,141.5,63,22,19.2,32.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,2,42819,42883,42885,5.5,3.3,3,5,70.8,1,NA,NA,32.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,3,42820,42887,42888,5.6,2.9,5,8,107.4,1,NA,NA,32.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,4,42818,42887,42888,5.5,2,6,20,270.2,80,23,16.6,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,5,42818,42887,42889,5.6,3.2,9,0,0,0,NA,NA,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,6,42818,42885,42887,6.1,2.7,5,8,155,48,21,18.2,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,7,42818,42882,42884,5.6,3.1,8,10,389.2,232,20,19.1,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,8,42819,42881,42883,4.2,2.6,7,7,35.2,0,NA,NA,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,9,42820,42878,42880,5.3,2.6,11,4,29,0,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,10,42821,42881,42883,4.9,1.6,4,5,95.8,20,20,20.2,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,11,42820,42871,42883,5.1,2.5,6,3,24.4,1,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,12,42819,42882,42884,5,1.6,3,9,184.3,81,22,16.7,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,13,42822,42881,42882,5.3,1.6,13,8,185.2,107,26,18.4,32.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,14,42820,42879,42882,5.9,3.2,9,13,224.4,86,20,19.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,15,42818,42881,42883,5,3.1,15,7,165,70,20,18.4,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,16,42819,42883,42884,4.6,3,8,7,66.2,8.2,NA,NA,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,15,42819,42885,42887,4.8,1.5,6,5,68,16.4,NA,NA,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,18,42818,42887,42888,6.4,3.5,7,15,251.4,90,20,18.3,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,19,42820,42881,42883,4.9,2.7,9,12,295.2,50,25,17.3,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,20,42818,42880,42882,5.5,3.2,12,5,60.8,10,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH1,42818,42875,42878,6.3,3.2,8,9,556,440,21,20,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH2,42819,42884,42886,6.6,2.9,10,6,308,281,NA,NA,28
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH3,42818,42881,42884,5.3,2.1,5,8,79.4,14,NA,NA,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,21,42820,42884,42886,6.7,3.8,8,5,91.4,2,NA,NA,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,22,42819,42881,42883,5.7,2.7,8,7,208.8,15,NA,NA,28.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,23,42818,42881,42883,4.8,2.7,9,16,267.6,156,23,18.1,28.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,24,42818,42881,42883,5,2.6,8,10,154.6,15,NA,NA,28
Peshawar 2017 Date 1,Peshawar,2017,Date1,25,42820,42882,42884,5,2.1,10,7,325.8,210,21,18.2,28
Peshawar 2017 Date 1,Peshawar,2017,Date1,26,42820,42882,42884,4.6,2.5,9,7,199.6,107,25,16.4,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,27,42818,42881,42883,6.4,3,8,5,25,2,NA,NA,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,28,42819,42885,42887,4.8,3.2,13,4,1.14,67.4,24,19.4,28.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,29,42818,42886,42888,4,2.3,8,4,50.6,15,NA,NA,28.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,30,42818,24-Ma-15,42881,5.6,3.1,9,5,82,90,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,31,42818,42884,42886,7,1.9,14,10,315,211,23,19.5,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,32,42820,21-Ma-15,42878,4.4,1.9,7,7,105.8,25,23,21.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,33,42819,42878,42880,5.5,2.9,10,7,165,79,22,18.2,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,34,42818,42878,42880,4.5,3.2,9,12,365.6,201,24,21.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,35,42818,42878,42880,5.2,2.7,11,13,146.8,49,25,20.5,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,36,42820,42878,42880,4.5,3.1,5,2,37.8,16,24.7,18.7,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,37,42818,42886,42878,6,2.8,14,18,644.4,278,21,19.7,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,38,42818,42881,42882,6.2,3.3,14,8,600,282.4,25,20.2,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,39,42820,42876,42878,5.3,3.1,9,10,200,154,26,19.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,40,42819,42882,42884,4.5,2.2,7,4,121.8,84.2,21,16.6,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH1,42820,42875,42878,5.9,3.1,15,15,729.4,87.7,23,19.7,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH2,42818,42882,42884,6.5,3.8,14,15,1334,1100,NA,NA,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH3,42820,42880,42882,5.4,3.3,9,9,387,73,24,19.2,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,41,42818,42878,42880,5.3,3.4,10,11,228.2,144,27,20.1,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,42,42818,42881,42883,6,3.5,10,16,354,198,25,19.6,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,43,42819,42879,42881,5.7,3.1,11,5,43,14,NA,NA,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,44,42820,42878,42880,5.2,2.9,11,8,167,105,20,17.3,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,45,42818,42879,42881,4.8,2.6,10,8,225.5,160,31.4,19.7,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,46,42820,42880,42883,4.6,2.9,13,16,119.9,71.8,22.8,18.5,29.8
Peshawar 2017 Date 1,Peshawar,2017,Date1,47,42819,42875,42877,5.3,2.3,12,11,324,222,22.4,19.3,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,48,42820,42876,42877,5,2.3,16,10,168,93,34.8,20,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,49,42820,42878,42880,5.9,3.1,11,9,167.5,298,28,18.6,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,50,42818,42875,42877,5.8,2.6,9,14,115,142,28.8,16.6,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,51,42818,42884,42886,5.2,3.1,9,6,75.2,54,25.4,16.7,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,52,42820,42881,42883,4.7,3.3,8,4,20,5,NA,NA,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,53,42819,42882,42884,4.8,2.8,3,2,12,4,NA,NA,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,54,42818,42880,42883,6,2.6,10,5,19.9,2,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,55,42820,42881,28-Ma-15,4.5,2.4,7,4,5.9,0,NA,NA,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,56,42818,42883,42885,4.8,2.2,8,5,55.9,32,20,18,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,57,42818,42882,42881,4.4,1.9,12,7,104.4,25,14.4,20,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,58,42820,42883,42884,5.1,2.4,9,5,63.8,12,NA,NA,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,59,42818,42875,42877,4.5,2.8,16,13,159,65,23,19.6,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,60,42820,42876,42878,5.6,2.3,14,11,99.8,44,22,18.7,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH1,42819,42876,42878,5.9,2.8,12,10,595,40,23,19,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH2,42819,42881,42883,6.4,3.4,15,14,1496.9,1150,21,20.2,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH3,42818,42882,42883,5.4,2.9,4,5,103.6,45,33.2,17.3,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,61,42820,42875,42877,3.3,1.9,3,4,60.2,49,16,20.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,62,42819,42875,42878,5.8,2.5,14,9,306,240,20.6,20,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,63,42818,42880,42882,5.8,3.4,13,15,226,69,29.4,18.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,64,42820,42880,42882,5,2.8,7,7,98.2,41,23.2,18.2,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,65,42820,42880,42882,5.9,2.9,13,11,280,66,20,20.3,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,66,42819,42878,42880,5.5,2.8,13,11,115,37,24.4,16.9,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,67,42818,42880,42882,6.2,3.1,15,14,534,467,23,18.7,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,68,42820,42883,42885,5.2,3.6,10,6,157.6,110,26,18.4,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,69,42818,42886,42888,4.7,3.2,5,11,252.4,137,23,19.6,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,70,42820,42880,42882,5.5,2.3,14,5,93.5,56,24,19.5,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,71,42819,42878,42883,5.3,3,6,7,271.6,184,24,16.4,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,72,42819,42879,42883,5.3,3.2,12,14,373,152,27.2,15.8,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,73,42818,42879,42883,5.1,3.4,10,9,263,90,32.7,18.8,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,74,42818,42870,42875,4.7,2.1,5,9,280,210,25.2,19.5,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,75,42820,42870,42875,4.1,1.8,13,13,718.5,57,22.8,16.4,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,76,42818,42870,42875,4.9,2.2,14,18,1067,890,24.8,17.9,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,77,42820,42876,42878,5.5,3.1,10,15,149,58,34,20.3,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,78,42819,42881,42883,4.7,3.3,12,8,339.4,223,21.8,21.2,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,79,42818,42878,42882,4.5,3.2,6,1,3,0,NA,NA,32.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,80,42820,42879,42882,4.5,3.3,10,5,68,0,NA,NA,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH1,42818,42876,42878,5.7,3,13,9,572.4,414,24.4,21.4,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH2,42820,42881,42883,6.4,3.3,16,14,1576,1400,33.2,20.1,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH3,42819,42884,42886,5.4,2.7,6,6,56.6,33,23,22.2,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,81,42820,42879,42882,6.3,3.1,9,6,45,11,NA,NA,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,82,42818,42880,42883,5,3.3,8,1,4.1,0,NA,NA,32.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,83,42819,42881,42884,4.1,3.3,3,3,9,0,NA,NA,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,84,42818,42881,42884,4.8,3.3,4,4,16.2,0,NA,NA,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,85,42818,42881,42884,4.3,2.6,6,6,104.6,44,20,20.3,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,86,42820,42882,42884,5.2,3,12,6,14.2,0,NA,NA,NA
Peshawar 2017 Date 1,Peshawar,2017,Date1,87,42819,42882,42884,4.1,1.6,2,1,7,0,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,88,42818,42878,42881,3.6,1.9,4,2,12.1,2,22,21.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,89,42820,42880,42882,6.1,3.6,9,7,251,,30.4,20.2,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,90,42818,39226,42881,4.6,2.7,8,5,9,0,NA,NA,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,91,42820,42879,42882,4.4,2.2,7,7,66,5,20.4,22.5,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,92,42818,42881,42883,4.9,2.9,1,1,1.4,0,NA,NA,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,93,42818,42882,42884,4.9,2.3,5,2,4,0,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,94,42819,42882,42884,4.6,2.8,6,0,0,0,NA,NA,30.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,95,42818,42882,42884,4.3,1.7,11,7,103.2,31.6,22,21.6,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,96,42818,42878,42879,3.5,1.4,8,7,3,0,NA,NA,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,97,42820,42878,42880,2.7,1.8,5,1,3,0,NA,NA,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,98,42818,42881,42883,4.7,2.8,7,2,6,0,NA,NA,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,99,42820,42881,42884,4.8,2.8,3,2,12,0,NA,NA,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,100,42819,42875,42877,3.5,1.7,8,1,5,0,NA,NA,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH1,42818,42878,42881,5.5,3.4,11,9,732,405,31.2,20,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH2,42820,42882,42884,6.4,3.4,10,7,642,500,29.8,20,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH3,42819,42887,42888,4.8,2.6,8,7,75.2,10,31.2,21,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,101,42820,42889,42891,4.7,2.4,6,1,4,0,NA,NA,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,102,42820,42889,42892,4,3,7,7,32,0,NA,NA,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,103,42819,42890,42892,4,2.5,6,5,30,2,NA,NA,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,104,42819,42890,42892,5.6,2.3,13,10,598,420,32.6,21,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,105,42820,42890,42892,5.1,2.4,3,4,16,2,NA,NA,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,106,42818,42875,42877,4,2.9,6,4,121.5,83,20,20.2,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,107,42820,42875,42877,4.6,2.7,5,4,98.5,65,18.8,21,28.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,108,42819,42888,42890,5.1,3.3,13,12,315,218,16.4,16.4,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,109,42819,42888,42890,5.7,4.1,15,11,440,363,17.3,15.9,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,110,42818,42875,42877,5.5,3.1,12,9,778,647,23.2,18.2,32.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,111,42820,42874,42876,5.1,2.7,12,12,592,479,21.2,19.7,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,112,42819,42888,42891,4,2.9,12,11,497,388,18.8,18.8,32.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,113,42820,42888,42890,5.4,3,14,8,252,54,22.8,22.8,32.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,114,42818,42892,42894,4.7,2.8,12,7,223,155,21.4,16.5,33
Peshawar 2017 Date 1,Peshawar,2017,Date1,115,42820,42892,42894,4.4,2.6,12,8,272,118,26.8,16.8,33
Peshawar 2017 Date 1,Peshawar,2017,Date1,116,42818,42892,42894,4,1.9,11,4,59.9,2,NA,NA,32.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,115,42820,42891,42894,4.3,2.9,7,5,51,157,22,18,33
Peshawar 2017 Date 1,Peshawar,2017,Date1,118,42819,42875,42877,5.3,1.7,9,10,307,184,21.8,20,33
Peshawar 2017 Date 1,Peshawar,2017,Date1,119,42818,42888,42890,4.8,2.3,14,14,738,530,21.2,17.8,32.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,120,42820,42888,42891,5.8,2.9,5,5,135,92,24.4,18.4,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH1,42819,42875,42877,5.8,3.3,13,14,677,476,25.8,19.3,31
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH2,42818,42881,42884,6.6,3.3,10,11,1536,1100,24,21.6,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,CH3,42820,42884,42885,5.3,2.7,10,11,238,83,25.8,16.6,30
Peshawar 2017 Date 1,Peshawar,2017,Date1,121,42819,42883,42885,5.2,2.3,9,10,255,45,18.8,16.9,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,122,42818,42883,42885,4.8,2.4,7,9,330,132,28,16.5,29
Peshawar 2017 Date 1,Peshawar,2017,Date1,123,42820,42883,42885,5.3,1.7,15,9,346,220,20.8,18.3,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,124,42819,42879,42881,4.8,1.7,12,9,423,320,21.4,16.4,31.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,125,42818,42875,42877,5.3,2.9,14,11,335,158,15,18,32.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,126,42820,42875,42877,3.8,2.7,3,2,8,1,NA,NA,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,127,42820,42876,42877,5,2.6,13,12,290,153,20.4,21,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,128,42819,42877,42879,4,2.6,5,5,90,35,13.6,20.2,30.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,129,42819,42875,42877,3.7,2.2,3,1,52,44,24.8,19,29.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,130,42819,42876,42878,5.6,2.7,12,11,135,65,14.2,17.5,29.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,131,42818,42890,42892,4.6,2.9,11,9,112,53,13.4,18.3,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,132,42820,42890,42892,4.8,2.6,11,10,186,82,16.4,16.9,28.7
Peshawar 2017 Date 1,Peshawar,2017,Date1,133,42819,42891,42893,3.9,2.9,11,8,82,40,13,18,31.3
Peshawar 2017 Date 1,Peshawar,2017,Date1,134,42819,42893,42894,5.2,2.5,11,6,145,81,13.2,19.2,33
Peshawar 2017 Date 1,Peshawar,2017,Date1,135,42818,42889,42891,5.8,1.5,14,13,390,237,19.4,18,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,136,42820,42892,42894,5.2,1.6,7,4,236,165,36,18.3,32
Peshawar 2017 Date 1,Peshawar,2017,Date1,137,42818,42875,42877,4.7,1.8,12,10,292,121,26.8,17.8,32.7
